Course Code,Course Name
  CAS450H1,Asian Pathways Research Practice
  CAS490H1,Special Topics in Contemporary Asian Studies
  CAS498H1,Independent Research
  CAS498Y1,Independent Research
  CDN197H1,Inventing Canada
  CDN198H1,"Canada, Colonialism and Settler Relations"
  CDN199H1,Canada- Hong Kong Migration
  CDN202H1,Aspects of Quebec Culture
  CDN205H1,Topics in Canadian Studies I
  CDN218H1,Voices in Canadian Writing
  CDN221H1,Culture and the Media in Canada
  CDN230H1,Asian Canadian History
  CDN240H1,Italian Canadian Studies
  CDN267H1,Canadian Nationalisms
  CDN268H1,Canada and Globalization
  CDN280H1,Canadian Jewish History
  CDN305H1,Topics in Canadian Studies II
  CDN307H1,Asian Cultures in Canada
  CDN325H1,Asian Canadian Space & Place
  CDN335H1,Black Canadian Studies
  CDN340H1,The History of Canadian-U.S. Relations
  CDN355H1,"Digital Media, Digital Makers"
  CDN365H1,The Canadian Arctic
  CDN367H1,Canadian Pluralism
  CDN368H1,Canada's Borders
  CDN380H1,Socio-Cultural Perspective of the Canadian Jewish Community
  CDN385H1,"Re-Imagining Canada: Creative Visions of Our Past, Present, and Futures"
  CDN390H1,Chinese Canadian Studies
  CDN395H1,Independent Study in Asian Canadian Studies
  CDN405H1,The University in Canada
  CDN406H1,Topics in Canadian Studies_III
  CDN420Y1,Senior Essay
  CDN425H1,Independent Research in Canadian Studies
  CDN430Y1,Senior Seminar: Special Topics in Canadian Studies
  CDN435Y1,Active Citizenship in a Canadian Context
  CHC120H1,Catholicism in Conversation
  CHC200H1,Christianity and the Arts
  CHC203Y1,Christianity and Society Through the Ages
  CHC215H1,Varieties of Christian Community
  CHC218H1,Christianity and Education
  CHC232H1,Christianity and Science
  CHC303H1,Global Christianities
  CHC304H1,"Christianity, Law and Society"
  CHC305H1,Christianity and Popular Culture
  CHC306H1,The Catechism of the Catholic Church
  CHC307H1,Scripture in Christian Tradition
  CHC308H1,Marriage and the Family in the Catholic Tradition
  CHC309H1,Christianity and Politics
  CHC311H1,Why the Church
  CHC312H1,Catholicism and Education
  CHC313H1,Catholic Education in Ontario
  CHC322H1,Women and Christianity
  CHC327H1,Ritual and Worship
  CHC330H1,Christ in Christian Tradition
  CHC362H1,"International Development, Justice, and Human Dignity"
  CHC364H1,The Christian Book
  CHC365H1,"Christianity, Art, and Architecture"
  CHC367H1,"Christianity, Literature, and Theatre"
  CHC368H1,Varieties of Christian Experience
  CHC369H1,Christianity and Music
  CHC370H1,The Bible and Biology
  CHC371H1,Faith and Physics
  CHC372H1,The Catholic Church in Canada
  CHC379H1,Major Christian Thinkers
  CHC382H1,Literature and the Christian Child
  CHC383H1,God and Geometry
  CHC384H1,Music and Liturgy
  CHC390Y1,Independent Studies in Christianity and Culture
  CHC391H1,Independent Studies in Christianity and Culture
  CHC400H1,Advanced Topics in Christianity and Culture I
  CHC433Y1,Independent Studies in Christianity and Culture
  CHC434H1,Independent Studies in Christianity and Culture
  CHC456H1,Indian Christianity
  CHC471H1,Internship
  CHC472H1,Research Seminar in Christianity and Culture
  CHM101H1,"The Chemistry and Biology of Organic Molecules: Sex, Drugs and Rock and Roll!"
  CHM135H1,Chemistry: Physical Principles
  CHM136H1,Introductory Organic Chemistry I
  CHM151Y1,Chemistry: The Molecular Science
  CHM194H1,Science and Human Values
  CHM195H1,Innovative Teaching Methods in Chemistry
  CHM196H1,The Quantum World and Its Classical Limit
  CHM197H1,Environmental Chemistry in a Sustainable World
  CHM198H1,Biosensor Technology and Applications for the Non-Scientist 
  CHM199H1,"The Context of Chemistry: Origins, Concepts, Tools, and Challenges"
  CHM209H1,Science of the Modern Kitchen
  CHM210H1,Chemistry of Environmental Change
  CHM211H1,"Chemicals in the Environment: The Good, the Bad, and the Ugly"
  CHM217H1,Introduction to Analytical Chemistry
  CHM220H1,Physical Chemistry for Life Sciences
  CHM222H1,Introduction to Physical Chemistry
  CHM223H1,Physical Chemistry: The Molecular Viewpoint
  CHM238Y1,Introduction to Inorganic Chemistry
  CHM247H1,Introductory Organic Chemistry II
  CHM249H1,Organic Chemistry
  CHM299H1,Research Opportunity Program
  CHM299Y1,Research Opportunity Program
  CHM310H1,Environmental Fate and Toxicity of Organic Contaminants
  CHM317H1,Introduction to Instrumental Methods of Analysis
  CHM326H1,Introductory Quantum Mechanics and Spectroscopy
  CHM327H1,Experimental Physical Chemistry
  CHM328H1,Modern Physical Chemistry
  CHM338H1,Intermediate Inorganic Chemistry
  CHM342H1,Modern Organic Synthesis
  CHM343H1,Organic Synthesis Techniques
  CHM347H1,Organic Chemistry of Biological Compounds
  CHM348H1,Organic Reaction Mechanisms
  CHM355H1,Introduction to Inorganic and Polymer Materials Chemistry
  CHM379H1,Biomolecular Chemistry
  CHM395Y1,Research Project in Chemistry
  CHM396Y0,Research Topic Abroad
  CHM397H0,Research Abroad in Chemistry
  CHM398H0,Research Excursions
  CHM398Y0,Research Excursions
  CHM399H1,Research Opportunity Program
  CHM410H1,Analytical Environmental Chemistry
  CHM414H1,Biosensors and Chemical Sensors
  CHM415H1,Topics in Atmospheric Chemistry
  CHM416H1,Separation Science
  CHM417H1,Laboratory Instrumentation
  CHM423H1,Applications of Quantum Mechanics
  CHM427H1,Statistical Mechanics
  CHM432H1,Organometallic Chemistry and Catalysis
  CHM437H1,Bioinorganic Chemistry
  CHM440H1,The Synthesis of Modern Pharmaceutical Agents
  CHM441H1,Spectroscopic Analysis in Organic Chemistry
  CHM443H1,Physical Organic Chemistry
  CHM447H1,Bio-organic Chemistry
  CHM455H1,Advanced Materials Chemistry
  CHM456H1,Organic Materials Chemistry
  CHM457H1,Polymer Chemistry
  CHM458H1,"Soft Materials for Life, Energy, and the Environment"
  CHM479H1,Biological Chemistry
  CHM499Y1,Introduction to Chemistry Research
  CIN105Y1,Introduction to Film Study
  CIN196H1,Story Worlds and the Cinema
  CIN197H1,School Daze
  CIN201Y1,Film Cultures I: Art and Industry
  CIN210H1,Horror Film
  CIN211H1,Science Fiction Film
  CIN212H1,Cinema and Sensation I: Action/Spectacle
  CIN213H1,Cinema and Sensation II: Sex
  CIN214H1,New Media Forms
  CIN215H1,Fantasy Film
  CIN216H1,Crime Film Traditions
  CIN230H1,The Business of Film
  CIN240H1,Special Topics in Cinema Studies
  CIN250Y1,Directors: Four Studies in Film Authorship
  CIN260H1,Selected Topics in Cinema Studies
  CIN270Y1,American Popular Film Since 1970
  CIN301Y1,Film Cultures II: Politics and Global Media
  CIN310Y1,Avant-Garde and Experimental Film
  CIN312Y1,Documentary Film
  CIN314Y1,"Genre, Narrative and Narration in Film"
  CIN320H1,Special Topics in Genre and Modes
  CIN321H1,Special Topics in Genre and Modes II
  CIN322H1,Cult Cinema
  CIN330Y1,Feminist Approaches to Cinema
  CIN332Y1,Screening Race
  CIN334H1,"The Origins of the Animation Industry, 1900-1950: A Technosocial History"
  CIN335H1,Animation after 1950
  CIN336H1,Queer Film and Media
  CIN337H1,Black Cinema
  CIN340H1,Special Topics in Cinema as Social and Cultural Practice
  CIN341H1,Special Topics in Cinema as Social and Cultural Practice II
  CIN349H1,Screenwriting
  CIN352H1,Issues in Film Authorship I
  CIN353H1,Issues in Film Authorship II
  CIN360H1,Special Topics in Theory and Criticism
  CIN361H1,Special Topics in Theory and Criticism II
  CIN362H1,Animals and Cinema
  CIN363H1,Ecocinema: The Nature of Film
  CIN364H1,Theories of Media
  CIN369H1,Critical Writing on Film
  CIN370H1,Canadian Cinemas
  CIN371H1,(New) Media Aesthetics
  CIN372Y1,Contemporary World Cinema
  CIN374Y1,American Filmmaking in the Studio Era
  CIN376Y0,Chinese Cinemas
  CIN376Y1,Chinese Cinemas
  CIN378H1,Aspects of a National Cinema
  CIN378Y0,Aspects of a National Cinema
  CIN379H1,Hungarian Cinema
  CIN380H1,Special Topics in History and Nation
  CIN381H1,Special Topics in History and Nation II
  CIN381Y1,Special Topics in History and Nation
  CIN410H1,Advanced Study in Genre and Modes
  CIN411H1,Advanced Study in Genre and Modes
  CIN412H1,Advanced Study in Genre and Modes
  CIN420H1,Advanced Studies in Cinema
  CIN430H1,Advanced Study in Cinema as Social and Cultural Practice
  CIN431H1,Advanced Study in Cinema as Social and Cultural Practice
  CIN432H1,Advanced Study in Cinema as Social and Cultural Practice
  CIN440H1,Advanced Studies in Cinema
  CIN450H1,Advanced Study in Theory and Criticism 
  CIN451H1,Advanced Study in Theory and Criticism
  CIN452H1,Advanced Study in Theory and Criticism
  CIN460H1,Advanced Studies in Cinema
  CIN470H1,Advanced Study in History and Nation
  CIN471H1,Advanced Study in History and Nation
  CIN472H1,Advanced Study in History and Nation
  CIN480H1,Advanced Studies in Cinema
  CIN490Y1,Independent Studies in Cinema
  CIN491H1,Independent Studies in Cinema
  CIN492H1,Independent Studies in Cinema
  CJH332H1,Cellular and Molecular Neurobiology of the Synapse
  CJS200H1,Introduction to Jewish Thought
  CJS201H1,Introduction to Jewish Culture
